Sample-768 Sample-770 Sample-772 Sample-774 Sample-776 Sample-778 Sample-769 Sample-771 Sample-773 Sample-775 Sample-777 Sample-779
218993_at 5.67776453454792 7.79426023636694 7.08002206594738 8.00785455413288 7.78867724514909 8.00973176563422 7.44251072493104 7.47958371243122 6.5599838208856 7.8054662786979 8.78875120721408 7.5168886726974
238677_at 3.51610697198652 3.27699324949237 3.90732835443867 3.6619363056871 3.5361414730934 3.79883148272304 3.59720114151755 2.85606450927618 3.60880419587584 3.42016309940217 4.05775234032305 3.4829218285533
1570607_at 4.77220605024351 4.17305547181643 5.05632843097617 4.44201711240504 4.69724212375915 5.37547958243736 4.20541987915481 4.46307429197878 5.51090407943483 4.76105420904896 4.32351764675683 4.52777009924752
205808_at 3.00226830098087 3.12999252948224 2.7843773033734 2.95422391056678 2.68471980870308 2.78746138350816 2.8908747340546 2.66103086355455 3.18512278473172 2.96183963549758 2.78825894969894 2.85550464200745
207004_at 5.66180739404792 5.69011604812769 5.42901436004717 5.62087171099676 5.43822119244689 5.53281708689177 5.44354594294014 5.61568298196396 5.97254009852899 5.71223908307 5.29244081179826 5.71146843837555
207731_at 3.68445060806992 3.92436955648987 4.31696534248961 3.44280618588276 4.34028239131207 3.21480023413138 3.53750122232884 3.58069256097655 4.25106402954532 3.73558468391621 3.19202618614599 4.09623912290828
213567_at 6.79684542049197 7.37555766181655 7.1818505101199 6.46559092112608 7.27579836492641 7.46735386693503 8.2003227865524 8.03680788180746 5.67640635805803 7.58238863405856 6.80503624657001 8.06364933578205
215223_s_at 6.28281548676395 6.64077339182684 5.8323499338953 5.03891027065789 6.03085127965107 5.9983535412693 6.94143449883954 7.30866015957982 5.29516699808756 6.72140840328861 7.23943374755326 8.623309670178
220104_at 4.15388163102543 3.45907130783644 4.81768560838728 3.16788018102268 4.18580560613123 3.67315413092321 4.5198143034327 3.54249674865793 3.99478381968217 4.67249181212529 3.47406809999197 4.42052873767821
230421_at 7.08675326440105 5.05224193219615 4.20583167252463 4.9112877533402 4.92998517225544 4.75080619967758 5.21929348342422 4.30934907231785 4.46146800402317 4.567766502432 5.7726089344955 5.837363187307
226421_at 6.90882326291903 4.70988217403673 4.99545757006691 4.9611688321368 5.08529395955936 5.69609735842797 5.36024733406061 4.54940146734314 3.95275012943054 4.6925723869049 5.03651572917017 4.90036276985426
1553822_at 2.28963966241921 2.22899277781387 2.55413230631717 2.35384634291203 2.39514256862897 2.30724020234464 2.28963966241921 2.21047138507549 2.34139286259806 2.34139286259806 2.26469561474952 2.33810429308802
207232_s_at 4.16099834008073 5.04737816544684 4.70179394262098 4.29603342020135 4.52922918048402 4.09315593991285 4.41917481221263 4.44247813321169 4.77857890192682 4.14341271350225 5.08553993619214 4.3830660175247
223677_at 4.34569641202759 4.45958453706569 5.07382012004655 4.94690470706187 4.18282657717857 5.22046774912997 4.71453309320966 4.78552379470848 4.20002809820305 4.74790168423647 4.37514649329321 4.74152495197717
239341_at 4.20107018495389 4.742439378522 4.2194431589964 3.68113366736151 4.10665391672387 3.90271257728393 3.7418799720754 4.26588828330079 4.28875467975517 4.2611917205734 3.79926969090682 4.31312434395678
