GSM947269	GSM947270	GSM947271	GSM947272	GSM947273	GSM947274	GSM947275	GSM947276	GSM947277	GSM947278	GSM947279	GSM947280	GSM947281	GSM947282	GSM947283	GSM947284	GSM947285	GSM947286	GSM947287	GSM947288	GSM947289	GSM947290	GSM947291	GSM947292	GSM947293	GSM947294	GSM947295	GSM947296	GSM947297	GSM947298	GSM947299	GSM947300	GSM947301	GSM947302	GSM947303	GSM947304	GSM947305	GSM947306	GSM947307	GSM947308	GSM947309	GSM947310	GSM947311	GSM947312	GSM947313
SLC2A4RG-2268	425.253	431.753	415.034	14.1518	560.887	88.2804	280.818	610.884	513.245	254.78	297.196	205.855	83.6821	65.4586	12.6908	238.696	218.287	53.7609	619.407	216.432	220.787	510.567	841.506	382.856	622.653	324.228	41.7194	489.45	517.288	843.506	1531.05	208.249	745.902	134.685	507.343	163.408	108.508	1216.8	134.954	960.153	100.022	753.519	814.319	624.872	111.454
DKK2-25422	143.22	170.327	338.127	191.208	509.503	118.974	133.212	539.576	9.64526	21.0265	129.393	113.818	38.3437	10.2131	77.1254	70.7021	214.529	39.2824	15.5293	15.009	178.191	175.094	170.839	234.879	88.9121	159.556	523.657	85.1146	8.80338	94.9083	20.9588	74.1347	157.61	67.7625	128.204	126.877	299.51	22.5358	438.652	27.3419	225.904	40.1532	89.9111	2061.91	63.4599
SPTBN4-25696	34.9401	481.932	180.271	115.844	109.946	344.052	181.207	63.3442	429.971	116.067	217.327	76.3822	195.772	212.919	110.926	30.9064	38.6702	99.6014	89.5436	79.2869	47.447	93.617	126.992	72.2262	432.861	152.614	84.1565	135.728	84.0567	556.312	109.801	64.4496	83.6629	368.759	57.675	156.369	129.163	93.8057	75.3469	132.237	40.7472	161.296	128.676	199.315	196.97
TMEM63B-30415	250.697	122.502	175.414	471.81	253.339	117.621	117.775	95.0508	681.301	199.074	61.0296	129.725	68.841	344.566	561.768	83.9365	38.6803	287.807	466.852	393.779	75.5612	239.574	1120.56	551.611	459.452	179.054	507.836	147.307	858.176	793.18	849.532	285.293	748.16	222.24	398.043	663.386	838.051	473.879	554.037	735.897	248.53	664.322	1320	492.738	784.214
FAM184B-37710	4.36263	18.8493	61.4138	13.3239	92.5698	211.572	38.7128	47.0423	13.8762	51.4557	53.5079	127.364	8.28604	113.001	102.445	61.632	38.5433	100.61	475.275	334.513	105.214	183.59	489.75	22.7736	1064.11	13.2704	134.788	78.7621	95.7018	201.136	112.636	134.641	153.389	304.506	47.5524	326.405	356.727	395.207	716.513	446.147	186.918	157.84	314.304	179.558	114.694
SAA3P-27576	83.8681	6.40718	11.2569	88.216	60.467	21.4215	108.691	54.6435	16.7417	67.9143	52.2507	25.3404	13.5814	348.698	180.458	11.8814	9.83749	328.079	304.167	724.935	47.0563	33.866	99.6947	22.7656	232.267	11.6606	34.1975	37.1159	29.0346	85.7993	25.1994	52.1872	45.4513	43.8827	28.1599	1068.5	792.107	415.135	881.748	1100.7	266.909	189.359	887.959	465.989	406.135
TMEM174-36158	68.154	77.9054	15.996	8.2948	20.1764	11.9653	4.21893	6.71229	9.65694	11.9498	74.8411	9.48663	6.37857	17.2987	108.282	23.2035	38.3163	10.3133	21.2868	30.7613	46.8058	127.921	239.701	51.8667	99.4991	6.28435	17.7471	74.6298	33.9345	225.664	148.078	230.851	36.9229	13.5337	73.5635	37.1269	25.6855	46.27	60.6362	44.1346	14.6464	22.2053	50.2816	44.1349	51.373
IGIP-32099	10405.3	8473.49	7143.77	6169.42	5139.1	5911.2	5762.91	2438.97	3212.56	3949.28	6089.92	2479.34	3512.8	5006.34	2955.83	8544.23	5987.91	5198.88	1964.29	3219.76	3593.38	2690.22	1162.21	2085.96	1230.82	7363.01	2458.72	930.404	655.071	1202.62	590.485	3440.01	1875.89	4071.74	1795.01	344.929	563.092	552.099	763.639	556.279	1687.42	1930.94	48.2875	339.933	124.121
NR2F1-AS1-2886	161.742	95.3232	125.249	204.295	127.905	201.961	171.849	229.299	58.8451	168.341	137.439	62.9758	104.746	297.007	168.648	170.781	199.931	173.223	205.154	311.583	238.317	129.791	563.421	355.984	328.057	170.285	142.318	195.423	158.976	34.7362	11.2281	9.81011	136.943	41.1654	137.064	303.974	157.546	32.1751	240.358	102.752	81.7561	94.7301	193.236	157.962	70.2898
CTSD-7404	159.631	107.651	42.4129	130.024	150.453	44.9467	44.8977	218.491	36.9934	211.402	140.622	36.1684	69.7629	27.9604	150.213	12.0233	42.0494	77.7231	81.9907	211.216	219.832	305.216	104.471	47.138	767.089	32.628	224.643	68.2669	198.552	39.6341	97.8036	192.64	748.095	158.185	301.61	199.222	189.911	67.3414	104.328	389.576	92.3444	278.817	247.253	43.5525	232.989
SGSM3-21069	865.988	852.126	1010.19	1011.6	1130.47	1118.08	1203.75	805.284	1478.66	686.679	468.896	874.342	472.664	643.389	828.799	238.48	289.375	849.597	933.333	1224.34	1481.9	1601.71	947.526	1527.48	1166.75	684.492	744.08	784.366	1507.83	1340.28	1985.79	860.392	1863.37	1685.05	678.129	2548.86	1191.39	1333.62	1871.3	1374.88	517.833	1805.13	941.02	695.826	1272.29
CCNO-16532	42.5631	35.746	31.123	76.0273	184.231	28.9044	67.8628	19.1857	28.9851	51.8953	62.7926	395.109	103.331	273.136	255.688	126.445	99.9154	259.764	134.687	278.48	72.7971	97.6061	60.114	457.636	547.545	15.3036	17.5683	23.0945	37.3585	211.466	27.2823	331.046	148.254	208.977	189.266	1203.35	590.847	468.154	595.423	71.1697	38.0686	234.361	1436.77	304.044	87.1762
ERC1-31189	660.778	749.582	779.474	755.948	954.607	705.202	716.561	725.408	649.376	503.717	600.194	794.425	385.103	414.352	594.927	429.465	333.652	607.69	488.197	497.82	399.861	677.873	721.301	652.912	811.561	532.033	416.981	731.065	560.668	680.175	964.725	491.108	799.255	826.447	712.538	1149.26	948.847	887.394	718.535	818.188	510.544	740.441	922.696	478.914	724.423
THAP8-33537	248.21	269.955	289.267	215.553	302.349	386.63	427.767	234.603	217.775	246.886	213.241	151.203	207.777	405.212	327.095	38.7293	128.063	371.33	618.669	478.189	274.915	135.622	513.31	479.502	778.331	173.434	160.303	333.454	489.225	546.554	562.525	356.488	223.746	498.984	237.99	765.874	630.881	598.059	822.112	549.688	236.426	533.213	826.362	403.682	982.601
ITGB1BP1-9971	61.8321	402.761	532.48	343.854	330.245	812.071	803.344	497.05	345.75	154.979	624.644	431.308	194.923	73.5025	1218.56	1141.76	436.208	1232.56	417.692	1036.35	546.694	678.97	347.287	855.539	866.766	558.191	398.136	618.477	348.488	274.812	658.007	657.068	854.674	417.141	208.721	350.012	567.812	288.103	995.332	803.102	667.703	69.6641	112.839	113.769	336.673
PLCB2-16887	16.2993	28.6671	13.3286	28.0971	18.0315	19.6116	11.2903	14.8623	71.387	19.6723	14.6745	45.7788	12.7848	22.8972	15.7778	11.9261	10.0961	87.6681	74.6084	51.409	6.80644	31.7382	31.3921	35.9823	146.666	61.3351	32.7801	16.3421	66.0695	62.1031	69.3695	13.7375	80.3132	17.1792	21.6113	618.227	184.337	170.054	639.259	237.91	212.623	159.792	456.868	53.148	314.08
