SRR5892193	SRR5892194	SRR5892196	SRR5892197	SRR5892198	SRR5892199	SRR5892201	SRR5892202	SRR5892203	SRR5892206	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRR402990	SRR402991
Anaeroglobus_geminatus	0.000243423140978084	0.000417835679957357	0.00016675312290291	0.00472621224315206	0.000212374097608788	0.000879769487836018	7.26131762340896e-05	0.00026144057843728	0.000656898736968022	0.000436315619193606	0.00025409621559521	0.000415961772098603	0.000272224535048171	0.000354033202671722	0.000119782988283666	0.000157283645900447	0.000159324710721238	0.000159662552726137	0.000545674183866006	0.000293884996382737	0.000134633292569364	0.000281697456931256
Arcanobacterium_haemolyticum	0	0	0	0	1.49424889036124e-05	2.58140135209617e-05	0	0	0	1.81112143816214e-05	0	0	0	1.86572767474815e-05	0	2.86714979506023e-05	0	0	0	4.22248558021174e-05	0	0
Atopobium_minutum	0	0	0	0	0	0	0	0	1.46982505689919e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium_parvulum	0.0080626270249839	0.0122341599296156	0.00329540225585427	0.00511316082596833	0.014381986607079	0.00367117132830541	0.0152277474055121	0.0124422566951596	0.0145444842553471	0.0182239978529979	0.0115407460655807	0.0327222052930773	0.0254804526840099	0.0084549317553221	0.00312506999514051	0.0156140881910701	0.00639116382060656	0.00458209654741447	0.0220175901231872	0.0139448993781686	0.000784659658255826	0.000839098807880337
Atopobium_rimae	0.000203362297425158	0.000394336005227245	0.000174414752874125	0.00295341905542513	0.000103007795846179	0.00253116867713646	0.00488801328438951	0.000176336223477228	0.0010006116733506	0.00298176447682876	0.00151154671841253	0.000398569642254759	0.000590804007192397	0.000241634486656407	0.000487896562033467	0.000176944101638003	0.000420740983652202	0.000410873301046711	0.00130332264730562	9.62726712288278e-05	0.000402497447577162	0.00039157944367749
Atopobium_vaginae	0	4.81456750568148e-05	8.42779296833629e-05	4.94502981234848e-05	1.84396671576493e-05	1.67442249865697e-05	1.91087305879183e-05	1.77017058316908e-05	2.14820585239112e-05	3.70456657805892e-05	2.93187941071396e-05	3.76829479949954e-05	6.28891821749028e-05	2.59381652343035e-05	0	0	0	0	4.77657514719335e-05	2.92759000228014e-05	0.000103078614623419	0.000469495761552093
Bacillus_anthracis	0	0	0	0	0	0	0	0	0	2.38738735030464e-05	0	0	0	0	0	0	0	0	0	1.6889942320847e-05	0	0
Bacillus_subtilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_pyogenes	9.02133499855965e-05	4.47066982670423e-05	0.000104108030785331	0.000112499428230928	7.34407433347757e-05	6.06978155763153e-05	2.2930476705502e-05	4.22117600601858e-05	6.44461755717337e-05	2.8813295607125e-05	4.66928943187778e-05	5.9060774261387e-05	0.000119578022445238	7.41740514594996e-05	0	6.88115950814455e-05	0.000110985902856785	0.000105920949851586	7.06580931912012e-05	8.38867135268733e-05	0.000105182259819816	0.000295682437062595
Bifidobacterium_breve	0	0.000200033816605099	0	0	2.79774260322955e-05	0	0	0	0	5.51568801622106e-05	0	5.68867580309065e-05	0	3.41291647819783e-05	0	0	0	0	0	0	0	0
